TargetProcessDesc,ProcessCode
S-Assembly (for M-Assembly)/ IN SHOP,HA011
S-Assembly(for L-Assembly)/ IN SHOP,HA021
M-Assembly/ IN SHOP,HA031
L-Assembly/ IN SHOP,HA041
Fabrication/ IN SHOP,HF031
Shop PE / IN SHOP,HP011
1st PE/ 1st PE,HP023
2nd PE/ 2nd PE,HP034
M-Assembly Outfitting/ IN SHOP,FB011
Block pre-outfitting/ IN SHOP,FB021
Shop PE outftting / IN SHOP,FP011
1st PE outftting / 1st PE,FP023
2nd PE outftting / 2nd PE,FP034
Block painting / IN SHOP,PB011
Shop PE painting / IN SHOP,PP011
1st PE painting / 1st PE,PP023
2nd PE painting / 2nd PE,PP034
